stop_name,stop_lat,stop_lon,wheelchair_accessible,bikes_allowed,is_express,stop_id
1044 Camino La Costa/Calidad,30.32468,-97.699305,1,1,False,2460
Colony Park SB (Loyola/Colony Loop),30.297971,-97.64216,1,1,True,2282
1831 Wells Branch/Thermal,30.434587,-97.678139,1,1,False,5342
4121 Red River/Park,30.301232,-97.72155,1,1,False,6336
7944 Salt Springs/Roseborough,30.161236,-97.744138,1,1,False,5699
Vic Mathias/Auditorium Shores (SB),30.258767,-97.7487,1,1,False,2763
7720 Lamar/Stobaugh,30.346044,-97.713966,1,1,False,471
2800 Montopolis/Oltorf,30.216404,-97.709274,1,1,False,2230
Stonelake/Great Hills,30.394136,-97.73962,1,1,False,5019
45 Waller/Clermont,30.254853,-97.734855,1,1,False,2045
2007 Anderson/Burnet,30.354472,-97.727616,1,1,False,954
9306 Georgian/Rundberg,30.360445,-97.693759,1,1,False,4725
Norwood Park/Brettonwoods,30.338844,-97.694029,1,1,False,5193
Pack Saddle Pass/Ben White,30.231055,-97.792199,1,1,False,4231
2901 Montopolis/Oltorf,30.215288,-97.71025,1,1,False,5974
Salt Springs at Tara,30.163794,-97.742645,1,1,False,6521
6594 1st/William Cannon,30.197445,-97.7875,1,1,False,1540
1207 Montopolis/Larch,30.232656,-97.698459,1,1,False,3254
1779 Wells Branch/Wells Port,30.435736,-97.67502,1,1,False,5761
Simond SB (Berkman/Simond),30.296149,-97.700385,1,1,True,6293
4309 Red River/44th,30.303319,-97.720483,1,1,False,1787
59 Waller/Holly,30.25619,-97.73426,1,1,False,1959
1016 Camino La Costa/La Posada,30.327108,-97.702019,1,1,False,4712
Research/Jamestown,30.355308,-97.714862,1,1,False,3795
Slaughter/Texas Oaks,30.173995,-97.814789,1,1,False,2934
Simond SB (Berkman/Simond),30.296149,-97.700385,1,1,False,6293
9100 Georgian/Fawnridge,30.358478,-97.69499,1,1,False,5406
Johnny Morris SB (Loyola/Johnny Morris),30.300569,-97.648626,1,1,True,5644
2222 Western Trails/Pack Saddle,30.230411,-97.793637,1,1,False,1746
6188 Convict Hill/Escarpment,30.225555,-97.86838,1,1,False,6390
Woodrow/Anderson,30.35245,-97.7234,1,1,False,956
Salt Springs/Orange Blossom,30.167114,-97.740546,1,1,False,4361
6403 S 1st/Eberhart,30.200331,-97.785673,1,1,False,1541
Research/Clearfield,30.357316,-97.715514,1,1,False,3796
1312 Slaughter/Bilbrook,30.173971,-97.816864,1,1,False,2935
810 45th/Red River,30.305167,-97.720184,1,1,False,5394
Oak Springs SB (Oak Springs/Airport),30.27361,-97.69835,1,1,False,634
Brodie Oaks Station (NB),30.23595,-97.792633,1,1,True,2370
2422 Western Trails/Roundup,30.229929,-97.796179,1,1,False,1747
1401 Holly/Navasota,30.255457,-97.73204,1,1,False,2046
Georgian/Home Pl.,30.355832,-97.696474,1,1,False,1148
3900 Martin Luther King/Perez,30.284342,-97.692951,1,1,False,902
1678 Wells Branch/Owen Tech,30.439132,-97.671492,1,1,False,6453
5902 Riverside/Grove,30.2273,-97.708137,1,1,False,5728
3121 Montopolis/Ben White,30.210671,-97.713467,1,1,False,5836
8523 Research/Fairfield,30.359988,-97.716313,1,1,False,3797
Woodrow/Princeton,30.349882,-97.723185,1,1,False,958
205 Riverside/Congress,30.254846,-97.744793,1,1,False,3847
6001 S 1st/Flournoy,30.203634,-97.783793,1,1,False,1542
Lavaca/4th,30.266689,-97.745863,1,1,False,2643
Mueller Tower Station SB (Berkman/Tom Miller),30.290214,-97.699019,1,1,True,6291
900 St Johns/Bennett,30.331594,-97.701247,1,1,False,1410
1511 Holly/Comal,30.254888,-97.730453,1,1,False,2047
Woodrow/Dartmouth,30.348038,-97.723558,1,1,False,4523
325 Riverside/Newning,30.25359,-97.743972,1,1,False,5023
8601 Research/Ohlen,30.362273,-97.716941,1,1,False,3798
5801 Convict Hill/Cannon Mountain,30.223318,-97.863788,1,1,False,3206
3520 Martin Luther King/EM Franklin,30.283767,-97.696791,1,1,False,5571
500 45th/Duval,30.307024,-97.724177,1,1,False,4920
4001 Braker/Stonelake,30.397316,-97.736242,1,1,False,3017
2559 WESTERN TRAILS/Sagebrush,30.229619,-97.798883,1,1,False,1748
Cameron/Park Center,30.338928,-97.682055,1,1,False,5082
2810 Oak Springs/Webberville,30.272939,-97.70225,1,1,False,5464
Mueller Tower Station SB (Berkman/Tom Miller),30.290214,-97.699019,1,1,False,6291
Woodrow/Richcreek,30.346068,-97.724799,1,1,False,960
7308 Riverside/Coriander,30.220466,-97.693726,1,1,False,4692
5701 Convict Hill/Wagon Train,30.222491,-97.862056,1,1,False,3207
2700 Western Trails/Sagebrush,30.229104,-97.8005,1,1,False,4219
1425 Wells Branch/FM 1825,30.441022,-97.664663,1,1,False,5765
Riverside/Faro,30.229833,-97.712898,1,1,False,1018
5603 S 1st/Stassney,30.20827,-97.781507,1,1,False,2641
Del Valle High (Tennis Courts),30.177571,-97.614481,1,1,False,5927
3577 Montopolis/Burleson,30.206201,-97.716307,1,1,False,5834
Broken Spoke Station (NB),30.240739,-97.78607,1,1,True,6357
Purple Sage SB (Crystalbrook/Purple Sage),30.308573,-97.652374,1,1,True,1614
Braker/Mopac SW Corner,30.396412,-97.734329,1,1,False,5452
5764 William Cannon/Onion Creek Soccer Complex WB,30.175817,-97.74341,1,1,False,6482
7100 Roland Johnson/St Johns,30.333174,-97.706079,1,1,False,1412
715 Riverside/Alameda,30.250734,-97.74061,1,1,False,1186
1631 Holly/Chalmers,30.254179,-97.728458,1,1,False,2048
Oak Springs/Ridgeway,30.272556,-97.704568,1,1,False,635
3300 Martin Luther King/Tillery,30.283022,-97.701544,1,1,False,905
7100 Woodrow/Piedmont,30.342981,-97.725124,1,1,False,962
45th/Avenue F,30.3082,-97.727325,1,1,False,4921
Cameron/Clear Creek,30.341356,-97.68045,1,1,False,5081
6810 Riverside/Frontier Valley,30.222831,-97.698094,1,1,False,3248
115 7Th/Colorado,30.269226,-97.743548,1,1,False,6314
Research/Northgate,30.368858,-97.718513,1,1,False,3799
Lamar/Howard,30.41672,-97.676257,1,1,False,5319
4900 West Gate/Choctaw Trail,30.227305,-97.802541,1,1,False,2337
7000 Woodrow/Cullen,30.341522,-97.725904,1,1,False,963
Georgian/Elliott,30.353289,-97.699042,1,1,False,1149
8707 Vertex/Cattle Baron,30.155931,-97.753078,1,1,False,6339
5th/West,30.26926,-97.75113,1,1,False,2108
13620 Metric/Howard,30.426334,-97.677159,1,1,False,5522
1005 East Riverside/Travis Heights,30.249589,-97.738348,1,1,False,1187
3014 Martin Luther King/Airport,30.282553,-97.704518,1,1,False,4196
Pleasant Hill Station (NB),30.194535,-97.778085,1,1,True,4382
6600 Riverside/Vargas,30.224038,-97.700825,1,1,False,3249
6218 Stassney/TX Dot Way SB,30.201947,-97.720838,1,1,False,6467
