route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id,trip_short_name,wheelchair_accessible,bikes_allowed
1,5-169,2959638_0158,1 Tech Ridge Park & Ride NB,1,1002,5,2959638,Tech Ridge Park & Ride,1,1
1,5-169,2959604_0159,1 Tech Ridge Park & Ride NB,1,1004,5,2959604,Tech Ridge Park & Ride,1,1
1,5-169,2959637_0160,1 Tech Ridge Park & Ride NB,1,1006,5,2959637,Tech Ridge Park & Ride,1,1
1,5-169,2959603_0161,1 Tech Ridge Park & Ride NB,1,1001,5,2959603,Tech Ridge Park & Ride,1,1
1,5-169,2959602_0162,1 Tech Ridge Park & Ride NB,1,1009,5,2959602,Tech Ridge Park & Ride,1,1
1,5-169,2959618_0163,1 Tech Ridge Park & Ride NB,1,1003,5,2959618,Tech Ridge Park & Ride,1,1
1,5-169,2959619_0164,1 Tech Ridge Park & Ride NB,1,1005,5,2959619,Tech Ridge Park & Ride,1,1
1,5-169,2959620_0165,1 Tech Ridge Park & Ride NB,1,1007,5,2959620,Tech Ridge Park & Ride,1,1
1,5-169,2959621_0166,1 Tech Ridge Park & Ride NB,1,1008,5,2959621,Tech Ridge Park & Ride,1,1
1,5-169,2959622_0167,1 Tech Ridge Park & Ride NB,1,1002,5,2959622,Tech Ridge Park & Ride,1,1
1,5-169,2959623_0168,1 Tech Ridge Park & Ride NB,1,1004,5,2959623,Tech Ridge Park & Ride,1,1
1,5-169,2959624_0169,1 Tech Ridge Park & Ride NB,1,1090,5,2959624,Tech Ridge Park & Ride,1,1
1,5-169,2959625_0170,1 Tech Ridge Park & Ride NB,1,1006,5,2959625,Tech Ridge Park & Ride,1,1
1,5-169,2959626_0171,1 Tech Ridge Park & Ride NB,1,1001,5,2959626,Tech Ridge Park & Ride,1,1
1,5-169,2959627_0172,1 Tech Ridge Park & Ride NB,1,1009,5,2959627,Tech Ridge Park & Ride,1,1
1,5-169,2959628_0173,1 Tech Ridge Park & Ride NB,1,1003,5,2959628,Tech Ridge Park & Ride,1,1
1,5-169,2959629_0174,1 Tech Ridge Park & Ride NB,1,1005,5,2959629,Tech Ridge Park & Ride,1,1
