route_stop_id,route_id,direction_id,stop_sequence,trip_headsign,stop_id
829,10,1,31,10 Norwood Transit Center NB,4065
830,4,1,17,4 Shady EB,936
831,311,0,23,311 Westgate Transit Center WB,4277
832,5,0,23,5 Tannehill EB,4831
833,335,0,14,335 Exposition WB,5351
834,30,1,29,30 Westgate Transit Center SB,1932
835,2,0,17,2 EASTSIDE BUS PLAZA SB,5937
836,10,0,48,10 Southpark Meadows SB,1669
837,7,0,46,7 William Cannon SB,1199
838,315,1,6,315 Oak Hill WB,4235
839,350,0,19,350 North Lamar Transit Center NB,3266
840,7,1,48,7 Airport/Highland NB,1259
841,333,1,21,333 Thaxton EB,4436
842,383,0,17,383 Lakeline Station NB,3804
843,318,1,12,318 Westgate Transit Center WB,3766
844,311,1,13,311 ACC RIVERSIDE EB,4225
845,30,1,30,30 Westgate Transit Center SB,1933
846,837,0,13,837 Downtown SB,6291
847,4,1,18,4 Shady EB,937
848,800,1,9,800 Slaughter SB,1353
849,5,1,32,5 Northcross WB,4154
850,383,1,3,383 North Lamar Transit Center SB,6517
851,325,1,15,325 Tech Ridge Park & Ride NB,3150
852,333,0,21,333 Oak Hill WB,1685
853,7,1,12,7 Crestview Station NB,6313
854,10,0,49,10 Southpark Meadows SB,1671
855,350,1,20,350 ACC Riverside SB,3297
856,20,0,20,20 Springdale NB,1249
857,323,0,13,323 Northcross WB,5854
858,335,0,15,335 Exposition WB,809
859,271,0,8,271 Grove WB,3324
860,18,1,24,18 Exposition WB,1511
861,310,0,4,310 ACC Riverside EB,5259
862,311,1,14,311 ACC RIVERSIDE EB,3112
863,5,0,24,5 Tannehill EB,5978
864,315,1,7,315 Oak Hill WB,4231
865,318,1,13,318 Westgate Transit Center WB,2933
866,30,0,6,30 NORTHCROSS NB,2183
867,4,1,19,4 Shady EB,938
868,7,0,47,7 William Cannon SB,4318
869,335,0,16,335 Exposition WB,2086
870,1,0,15,1 William Cannon SB,4542
871,10,1,32,10 Norwood Transit Center NB,1564
872,333,1,22,333 Thaxton EB,4428
873,800,1,10,800 Slaughter SB,4283
874,325,0,15,325 Norwood Transit Center SB,5734
875,350,0,20,350 North Lamar Transit Center NB,4191
876,345,1,12,345 Hancock Center EB,2312
877,325,1,16,325 Tech Ridge Park & Ride NB,2530
878,311,0,24,311 Westgate Transit Center WB,3102
879,7,1,49,7 Airport/Highland NB,1260
