stop_id,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
4670,11,5 Northcross WB,1,5,1,1,30.277482,-97.696869,3500 12th/Greenwood,False
4326,52,20 ABIA Airport SB,1,20,1,1,30.202744,-97.665653,ABIA Lower Level,False
832,1,217 Shady Lane NB,0,217,1,1,30.236954,-97.702062,Hogan/Community,False
2295,11,337 Mopac WB,0,337,1,1,30.311577,-97.669075,3300 Loyola/Kings Point,False
1359,27,7 Airport/Highland NB,1,7,1,1,30.231208,-97.73355,2201 Burton/Oltorf,False
5736,2,217 Shady Lane NB,0,217,1,1,30.235551,-97.699597,6107 Hogan/Montopolis,False
919,22,7 William Cannon SB,0,7,1,1,30.275451,-97.737526,San Jacinto/14th,False
1706,27,10 Southpark Meadows SB,0,10,1,1,30.290572,-97.727389,3100 Red River/32nd,False
1096,12,5 Northcross WB,1,5,1,1,30.276978,-97.700178,3250 12th/Airport,False
3123,7,324 Highland EB,0,324,1,1,30.36282,-97.71887,Ohlen/Contour,False
2296,12,337 Mopac WB,0,337,1,1,30.314191,-97.673126,2900 Loyola/Tulsa,False
3255,3,217 Shady Lane NB,0,217,1,1,30.234794,-97.697069,911 Montopolis/Cirulo de Amistad,False
1243,28,7 Airport/Highland NB,1,7,1,1,30.234059,-97.731309,Burton/Valley Hill Cir.,False
3125,8,324 Highland EB,0,324,1,1,30.36357,-97.71592,1649 Ohlen/Research,False
5466,4,217 Shady Lane NB,0,217,1,1,30.237459,-97.695289,703 Montopolis/Ponca,False
1098,13,5 Northcross WB,1,5,1,1,30.276346,-97.70424,12th/Harvey,False
1244,29,7 Airport/Highland NB,1,7,1,1,30.235764,-97.72851,1801 Burton/Woodland,False
3256,5,217 Shady Lane NB,0,217,1,1,30.238996,-97.694369,Montopolis/Monsanto,False
2077,28,10 Southpark Meadows SB,0,10,1,1,30.287579,-97.727345,920 Dean Keeton/Red River,False
4306,6,217 Shady Lane NB,0,217,1,1,30.240245,-97.693567,Montopolis/El Mirando,False
5263,1,10 Norwood Transit Center NB,1,10,1,1,30.163367,-97.791351,200 Turk/Cullen,False
5856,1,30 Westgate Transit Center SB,1,30,1,1,30.357211,-97.737209,2714 Foster/Northcross,False
6499,23,7 William Cannon SB,0,7,1,1,30.272244,-97.738709,Capitol/Waterloo SB (San Jacinto/11th),False
4733,9,324 Highland EB,0,324,1,1,30.36617,-97.715754,8919 Galewood/Payton Gin,False
2298,13,337 Mopac WB,0,337,1,1,30.318413,-97.678508,2400 Loyola/Roanoke,False
1099,14,5 Northcross WB,1,5,1,1,30.275723,-97.708093,2900 12th/Alexander,False
1361,30,7 Airport/Highland NB,1,7,1,1,30.239196,-97.727578,Burton/Riverside,False
4731,10,324 Highland EB,0,324,1,1,30.367505,-97.714901,9029 Galewood/Colony Creek,False
2757,29,10 Southpark Meadows SB,0,10,1,1,30.289184,-97.730013,810 Dean Keeton/Hampton,False
