amenity,amenity_category,name,geometry,icon,color
restaurant,Food Services,Kobe Japanese Steakhouse,POINT (-97.7920347 30.4491846),cutlery,green
restaurant,Food Services,Vaquero Taquero,POINT (-97.7358582 30.2664657),cutlery,green
place_of_worship,Community Services,New Life Austin,POINT (-97.69769164879452 30.436702395836086),institution,orange
restaurant,Food Services,Pok-E-Joe's BBQ,POINT (-97.6976689 30.4162355),cutlery,green
place_of_worship,Community Services,North Loop Church of Christ,POINT (-97.734179 30.3235382),institution,orange
restaurant,Food Services,Souper! Salad!,POINT (-97.7929257 30.2344579),cutlery,green
bar,Food Services,Toulouse on 6th Street,POINT (-97.7389497 30.2668447),beer,green
place_of_worship,Community Services,First Presbyterian Church,POINT (-97.75785892367867 30.36935272008144),institution,orange
restaurant,Food Services,Pok-e-Jo's Smokehouse,POINT (-97.7188561 30.2984763),cutlery,green
place_of_worship,Community Services,Saint Stephens Baptist Church,POINT (-97.71749433096474 30.420471218798944),institution,orange
restaurant,Food Services,Green Pastures,POINT (-97.762261908953 30.244949266662022),cutlery,green
theatre,Recreation,The Long Center for the Performing Arts,POINT (-97.75119115395084 30.26019099670992),film,red
restaurant,Food Services,Madam Mam's,POINT (-97.7345247 30.3595133),cutlery,green
restaurant,Food Services,Corner Restaurant,POINT (-97.7438985 30.2644196),cutlery,green
restaurant,Food Services,Gus' Fried Chicken,POINT (-97.741701 30.26347),cutlery,green
place_of_worship,Community Services,Austin Mennonite Church,POINT (-97.6904100233742 30.312220093634235),institution,orange
cafe,Food Services,Revival Coffee,POINT (-97.7277618 30.2642837),coffee,green
cafe,Food Services,Epoch Coffee,POINT (-97.7346731 30.3593671),coffee,green
restaurant,Food Services,Chez Nous,POINT (-97.7385412 30.2664993),cutlery,green
bar,Food Services,Buddy's Place,POINT (-97.7271659 30.3690209),beer,green
cafe,Food Services,Starbucks,POINT (-97.8051037 30.4769275),coffee,green
restaurant,Food Services,Xing Long Chinese Cuisine,POINT (-97.7918378 30.4467738),cutlery,green
restaurant,Food Services,The Cheesecake Factory,POINT (-97.8079245 30.2573805),cutlery,green
restaurant,Food Services,El Alma,POINT (-97.75564825845031 30.260016948181025),cutlery,green
place_of_worship,Community Services,Iglesia Vida Nueva of Austin,POINT (-97.70817698896609 30.33504945988075),institution,orange
restaurant,Food Services,Mr Gatti's Pizza,POINT (-97.7390819 30.3587973),cutlery,green
restaurant,Food Services,The Boat,POINT (-97.73339376749531 30.397723910677637),cutlery,green
cafe,Food Services,Épicerie,POINT (-97.74368891575658 30.32452184008426),coffee,green
restaurant,Food Services,Local Foods,POINT (-97.748514 30.265697),cutlery,green
restaurant,Food Services,Intero,POINT (-97.71444058673045 30.25388042719256),cutlery,green
cafe,Food Services,Le Café Crêpe,POINT (-97.7418971 30.2638474),coffee,green
restaurant,Food Services,Pho Saigon Noodle House,POINT (-97.6872118 30.3778971),cutlery,green
restaurant,Food Services,Sweetgreen,POINT (-97.7228063 30.4006129),cutlery,green
cafe,Food Services,La Madeleine,POINT (-97.709145 30.3063809),coffee,green
restaurant,Food Services,Ramen Tatsu-Ya,POINT (-97.7152245 30.3612166),cutlery,green
bar,Food Services,Lustre Pearl East,POINT (-97.7107585 30.2530248),beer,green
restaurant,Food Services,Hungry Yeti Scratch Kitchen,POINT (-97.6702189 30.4197899),cutlery,green
place_of_worship,Community Services,Saint Paul Lutheran Church,POINT (-97.72385277341229 30.293966189277064),institution,orange
bar,Food Services,Skylark Lounge,POINT (-97.70410336854323 30.28477289560902),beer,green
place_of_worship,Community Services,Diocese of Austin Chancery,POINT (-97.7394455071613 30.278216112286135),institution,orange
restaurant,Food Services,Trudy's Texas Star,POINT (-97.7409556 30.2958121),cutlery,green
restaurant,Food Services,Tien Jin Chinese Restaurant,POINT (-97.8026944 30.2307782),cutlery,green
restaurant,Food Services,Zao's,POINT (-97.8327979 30.4787876),cutlery,green
cafe,Food Services,604 Coffee,POINT (-97.719101 30.3348258),coffee,green
restaurant,Food Services,Geraldine's,POINT (-97.7392719 30.2601776),cutlery,green
restaurant,Food Services,CAVA,POINT (-97.7992479 30.2730999),cutlery,green
cafe,Food Services,Palkis Cafe,POINT (-97.6811756 30.5588862),coffee,green
restaurant,Food Services,Kuali Tlakuali,POINT (-97.7241403 30.26252435),cutlery,green
restaurant,Food Services,Casa de Luz,POINT (-97.76162663492504 30.264417911558237),cutlery,green
restaurant,Food Services,Pita Fusion,POINT (-97.7951848 30.4620006),cutlery,green
restaurant,Food Services,Umiya,POINT (-97.832845 30.4786972),cutlery,green
bar,Food Services,The Lodge,POINT (-97.7388823 30.2668174),beer,green
restaurant,Food Services,Historic Scoot Inn,POINT (-97.72938780016531 30.26212222748713),cutlery,green
restaurant,Food Services,Thai Taste,POINT (-97.8754917 30.2359159),cutlery,green
place_of_worship,Community Services,Mt Zion Baptist Church,POINT (-97.70549186521018 30.277488849696358),institution,orange
bar,Food Services,Historic Scoot Inn,POINT (-97.7293945 30.2621219),beer,green
restaurant,Food Services,Tarka Indian Kitchen,POINT (-97.7353938 30.3570449),cutlery,green
place_of_worship,Community Services,Greater Galilee Baptist Church,POINT (-97.6804636 30.2767848),institution,orange
restaurant,Food Services,Champions,POINT (-97.740157 30.265402),cutlery,green
place_of_worship,Community Services,Congregation Tiferet Israel,POINT (-97.7562184 30.3566915),institution,orange
place_of_worship,Community Services,Lakehills Free Will Baptist Church,POINT (-97.8337213879762 30.478009925302796),institution,orange
restaurant,Food Services,Tuscano Italian Kitchen,POINT (-97.8344416 30.4810636),cutlery,green
bar,Food Services,The Grackle,POINT (-97.72415901887612 30.262663175640387),beer,green
restaurant,Food Services,Hornitos,POINT (-97.7205415 30.294193),cutlery,green
restaurant,Food Services,The Guesthouse,POINT (-97.7490365 30.2655237),cutlery,green
bar,Food Services,Revelry Kitchen and Bar,POINT (-97.727825 30.2638211),beer,green
restaurant,Food Services,Snooze,POINT (-97.7659325 30.2508607),cutlery,green
restaurant,Food Services,Kanji Ramen,POINT (-97.7650745 30.4310839),cutlery,green
place_of_worship,Community Services,Saint Luke United Methodist Church,POINT (-97.75891758345062 30.281338292336446),institution,orange
cafe,Food Services,The Perch,POINT (-97.7416741 30.260507),coffee,green
restaurant,Food Services,Abel's North,POINT (-97.7153407797962 30.42369094804831),cutlery,green
cafe,Food Services,Summer Moon Coffee Bar,POINT (-97.8063095 30.2053557),coffee,green
bar,Food Services,The Rock Sports Bar & Grill,POINT (-97.67820475535898 30.509043393112396),beer,green
restaurant,Food Services,Lamberts,POINT (-97.747927 30.26518),cutlery,green
bar,Food Services,Speakeasy,POINT (-97.7435171 30.266771),beer,green
cafe,Food Services,Café 605,POINT (-97.7388864 30.260105),coffee,green
library,Community Services,Lyndon Baines Johnson Presidential Library and Museum,POINT (-97.72928516592978 30.285894781208036),book,orange
restaurant,Food Services,Jim's Restaurant,POINT (-97.72775778721386 30.37450783079611),cutlery,green
place_of_worship,Community Services,Pleasant Hill Baptist Church,POINT (-97.77741302095599 30.19099657740466),institution,orange
cafe,Food Services,Teapioca,POINT (-97.8004323 30.478409),coffee,green
restaurant,Food Services,2N1 Salad Bar and Grill,POINT (-97.6894943 30.3823407),cutlery,green
cafe,Food Services,Starbucks,POINT (-97.788159 30.1656017),coffee,green
place_of_worship,Community Services,Hyde Park Christian Church,POINT (-97.72228735196704 30.306850792250568),institution,orange
restaurant,Food Services,Pluckers Wing Bar,POINT (-97.7278594 30.372676),cutlery,green
place_of_worship,Community Services,Holy Cross Catholic Church,POINT (-97.7234723710956 30.267403511642772),institution,orange
restaurant,Food Services,ABGB,POINT (-97.7688916 30.2451066),cutlery,green
place_of_worship,Community Services,Chabad House,POINT (-97.74375121455724 30.28412352467752),institution,orange
library,Community Services,Austin Public Library - Windsor Park Branch,POINT (-97.69022002066185 30.311658407463334),book,orange
restaurant,Food Services,Cyclo Vietnamese & Chinese,POINT (-97.6762807 30.4106934),cutlery,green
place_of_worship,Community Services,St Peter's United Methodist Church,POINT (-97.68010418171392 30.287777115893046),institution,orange
theatre,Recreation,Stubb's Waller Creek Ampitheater,POINT (-97.73601099625023 30.268746734014613),film,red
cinema,Recreation,Alamo Drafthouse Cinema,POINT (-97.76355784292791 30.255876041545136),film,red
place_of_worship,Community Services,Church of God in Christ #1,POINT (-97.72496871829432 30.270441808346735),institution,orange
bar,Food Services,Edwin's,POINT (-97.7358935 30.2662572),beer,green
restaurant,Food Services,Fogo de Chão,POINT (-97.7443724 30.2645145),cutlery,green
cinema,Recreation,Violet Crown Cinema,POINT (-97.7483406 30.2656556),film,red
cafe,Food Services,Starbucks,POINT (-97.8284453 30.2340388),coffee,green
place_of_worship,Community Services,South Austin Church of the Nazarene,POINT (-97.8061536 30.2049579),institution,orange
pub,Food Services,Water Tank,POINT (-97.766952 30.4350154),beer,green
place_of_worship,Community Services,Cameron Grove Baptist Church,POINT (-97.7349858 30.3221602),institution,orange
cafe,Food Services,Wright Bros. Brew & Brew,POINT (-97.7330414 30.2644493),coffee,green
cinema,Recreation,Cinemark,POINT (-97.68829795148957 30.562812178472054),film,red
place_of_worship,Community Services,Tribe of Light CC,POINT (-97.7170078491993 30.31445953978548),institution,orange
cafe,Food Services,Jo's Coffee,POINT (-97.7562269 30.2326024),coffee,green
bar,Food Services,Recreation Sports & Social,POINT (-97.7245791 30.2624918),beer,green
place_of_worship,Community Services,True Light Missionary Baptist Church,POINT (-97.6803237 30.2766628),institution,orange
place_of_worship,Community Services,Vietnamese Unity Baptist Church,POINT (-97.6829576 30.3942728),institution,orange
library,Community Services,Austin Public Library - Yarborough Branch,POINT (-97.74072810843042 30.32346091622116),book,orange
place_of_worship,Community Services,Holy Name of Mary Church,POINT (-97.7591119 30.247163),institution,orange
bar,Food Services,Clive Bar,POINT (-97.73862400749684 30.260056047482422),beer,green
cafe,Food Services,Starbucks,POINT (-97.7447361 30.2850801),coffee,green
place_of_worship,Community Services,Fairview Baptist Church,POINT (-97.78296412521156 30.207147284731334),institution,orange
restaurant,Food Services,El Nuevo Mexico,POINT (-97.7146892 30.3479738),cutlery,green
restaurant,Food Services,Jack Allen's Kitchen,POINT (-97.7395256 30.3613604),cutlery,green
cafe,Food Services,Starbucks,POINT (-97.6882267 30.4132733),coffee,green
restaurant,Food Services,P.F. Chang's,POINT (-97.7413891 30.263774200000007),cutlery,green
restaurant,Food Services,The Well,POINT (-97.7482929 30.2656257),cutlery,green
restaurant,Food Services,Keto Kitchen,POINT (-97.7083756 30.3161337),cutlery,green
place_of_worship,Community Services,St. Paul Primitive Baptist Church,POINT (-97.71653056367913 30.27609018925978),institution,orange
place_of_worship,Community Services,Holy Vietnamese Martyrs Catholic Church,POINT (-97.65823435002423 30.391037856791787),institution,orange
bar,Food Services,Kung Fu Saloon,POINT (-97.7227584 30.4008451),beer,green
pub,Food Services,Round Rock Tavern,POINT (-97.67955271911023 30.50814708033387),beer,green
cinema,Recreation,AMC Barton Creek Square 14,POINT (-97.80816176835573 30.257804464086185),film,red
place_of_worship,Community Services,Unity Church of Austin,POINT (-97.84154660939902 30.235519194000823),institution,orange
place_of_worship,Community Services,Vision of Hope AME Church,POINT (-97.68640893808686 30.276151019101746),institution,orange
restaurant,Food Services,IHOP,POINT (-97.7473321147304 30.41652012746645),cutlery,green
bar,Food Services,Sam's Town Point,POINT (-97.8276455 30.17217),beer,green
restaurant,Food Services,ZIKI,POINT (-97.7442323 30.2655244),cutlery,green
restaurant,Food Services,Barletts,POINT (-97.7312443 30.3567746),cutlery,green
bar,Food Services,ReyRey + Taqueria 10de10,POINT (-97.7406658 30.2639386),beer,green
restaurant,Food Services,Brick Oven,POINT (-97.7490667 30.3988329),cutlery,green
restaurant,Food Services,Tino's Greek Cafe,POINT (-97.791207 30.4471724),cutlery,green
events_venue,Recreation,Peached Social House,POINT (-97.7225705 30.3325931),institution,orange
place_of_worship,Community Services,Dunn's Memorial Baptist Church,POINT (-97.83586394129668 30.20406021593195),institution,orange
place_of_worship,Community Services,Risen Savior Evangelical Lutheran Church,POINT (-97.8373810989384 30.179660542294272),institution,orange
restaurant,Food Services,BJ's,POINT (-97.73239684581094 30.392223177656927),cutlery,green
place_of_worship,Community Services,Winners Chapel International (Austin),POINT (-97.67143166727979 30.335177130057158),institution,orange
place_of_worship,Community Services,Churchof the Cross Austin,POINT (-97.67420792729563 30.331189639859197),institution,orange
events_venue,Recreation,dadaLab,POINT (-97.7104005438168 30.283371783738595),institution,orange
restaurant,Food Services,Burger Bar,POINT (-97.7437945 30.2646732),cutlery,green
restaurant,Food Services,Wings 'N More Restaurant & Bar,POINT (-97.6697113831248 30.42403825641666),cutlery,green
library,Community Services,Munday Library,POINT (-97.75744944140747 30.231114047610557),book,orange
restaurant,Food Services,Kerbey Lane Café,POINT (-97.7037888 30.3004905),cutlery,green
restaurant,Food Services,Pluckers Wing Bar,POINT (-97.7450193 30.2863059),cutlery,green
bar,Food Services,Incognito,POINT (-97.7332099 30.2644208),beer,green
cafe,Food Services,Summer Moon Coffee,POINT (-97.7302023 30.3555394),coffee,green
restaurant,Food Services,Wax Myrtle's Club & Pool,POINT (-97.74110422385584 30.26679567582992),cutlery,green
restaurant,Food Services,De Nada Cantina,POINT (-97.70216937364536 30.251451838621133),cutlery,green
place_of_worship,Community Services,Rehoboth Baptist Church,POINT (-97.676856895381 30.28085565021319),institution,orange
restaurant,Food Services,Bistro Vonish,POINT (-97.7166158 30.3153113),cutlery,green
restaurant,Food Services,Greenhouse Craft Food,POINT (-97.6706459 30.5393041),cutlery,green
place_of_worship,Community Services,Our Lady of Guadalupe Catholic Church,POINT (-97.72806133670409 30.266845240027415),institution,orange
place_of_worship,Community Services,Olivet Baptist Church,POINT (-97.72573336121499 30.271197004537104),institution,orange
restaurant,Food Services,Beijing Express,POINT (-97.6704264 30.5393549),cutlery,green
pub,Food Services,Easy Tiger,POINT (-97.7887279 30.240283),beer,green
bar,Food Services,Reina Rooftop,POINT (-97.7406409 30.2639979),beer,green
cafe,Food Services,Yummi Joy,POINT (-97.7482013 30.2652973),coffee,green
